epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.5517,1.70468,3.66159,1.41799,0.02356,0.26744,0.15911,0.09959,1.30441,inf,1.11218,0.00020006,0.00020006,0.00020006
2,70.7616,1.29822,2.7058,1.10749,0.01136,0.10009,0.0363,0.01797,1.5195,inf,1.39037,0.000410307,0.000410307,0.000410307
3,91.5883,1.24637,1.58249,1.08177,0.75784,0.16459,0.18669,0.11941,1.3673,inf,1.17573,0.000616311,0.000616311,0.000616311
4,110.388,1.15038,1.1549,1.05047,0.09454,0.5785,0.38373,0.25131,1.14292,inf,1.04668,0.00081807,0.00081807,0.00081807
5,133.243,1.07953,1.01871,1.02694,0.93947,0.23013,0.60573,0.39776,1.09473,inf,1.03098,0.00101558,0.00101558,0.00101558
6,154.26,1.07603,0.97419,1.02182,0.85447,0.39772,0.77238,0.5085,1.07286,inf,1.02644,0.00120886,0.00120886,0.00120886
7,175.777,1.05242,0.94075,1.01672,0.85712,0.54525,0.78359,0.52737,1.03261,inf,1.01479,0.00134412,0.00134412,0.00134412
8,198.428,1.03484,0.90507,1.00897,0.78315,0.71509,0.82234,0.54524,1.0508,inf,1.02412,0.00132997,0.00132997,0.00132997
9,217.194,1.01713,0.89631,1.00768,0.78072,0.71944,0.80529,0.53989,1.03273,inf,1.01862,0.00131582,0.00131582,0.00131582
10,239.861,1.01298,0.8634,1.00091,0.79265,0.7016,0.80132,0.52428,1.06175,inf,1.02998,0.00130168,0.00130168,0.00130168
11,261.249,1.01073,0.84893,0.9971,0.77096,0.70171,0.75376,0.46466,1.19655,inf,1.08134,0.00128753,0.00128753,0.00128753
12,281.664,0.98899,0.83119,0.99673,0.80442,0.76071,0.82136,0.54808,1.02429,inf,1.01629,0.00127338,0.00127338,0.00127338
13,302.292,0.99287,0.8291,0.99535,0.77827,0.77893,0.82894,0.56268,0.97231,inf,0.99902,0.00125923,0.00125923,0.00125923
14,323.75,0.99339,0.80833,0.99301,0.83078,0.77606,0.8478,0.56045,1.01762,inf,1.0018,0.00124509,0.00124509,0.00124509
