epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.171,1.2367,1.44622,1.18797,0.76898,0.7244,0.77441,0.49579,1.1114,0.95005,1.1168,0.000470066,0.000470066,0.000470066
2,94.4059,1.04476,0.85763,1.06322,0.7734,0.79046,0.83533,0.56593,0.99585,0.97175,1.07842,0.00093703,0.00093703,0.00093703
3,140.18,1.02894,0.8165,1.05889,0.80335,0.80314,0.84448,0.57227,0.9824,0.8167,1.05965,0.00139456,0.00139456,0.00139456
4,187.105,1.02019,0.80723,1.05304,0.8057,0.80741,0.85002,0.58961,0.95627,0.87535,1.04427,0.00138656,0.00138656,0.00138656
5,233.244,1.01041,0.78891,1.05545,0.8076,0.79754,0.83725,0.57017,0.99509,0.81491,1.06362,0.00137241,0.00137241,0.00137241
6,278.957,0.98513,0.75452,1.04309,0.82222,0.79796,0.8547,0.58393,0.99282,0.76674,1.05969,0.00135826,0.00135826,0.00135826
7,325.578,0.98323,0.75103,1.04251,0.82475,0.81838,0.87329,0.59364,0.96722,0.7487,1.05036,0.00134412,0.00134412,0.00134412
8,372.844,0.97896,0.73821,1.04384,0.84652,0.82531,0.88833,0.62698,0.93493,0.71151,1.03061,0.00132997,0.00132997,0.00132997
9,418.708,0.97177,0.71895,1.03847,0.82189,0.80714,0.86017,0.61039,0.92521,0.77083,1.0295,0.00131582,0.00131582,0.00131582
10,465.23,0.95778,0.71237,1.03107,0.83937,0.81739,0.87625,0.62488,0.91806,0.69914,1.02871,0.00130168,0.00130168,0.00130168
11,510.535,0.95336,0.69768,1.0311,0.85105,0.81161,0.88057,0.61844,0.9469,0.68597,1.03823,0.00128753,0.00128753,0.00128753
12,557.977,0.95591,0.6919,1.02875,0.83681,0.80496,0.86376,0.57678,1.01626,0.75078,1.06665,0.00127338,0.00127338,0.00127338
13,604.313,0.94374,0.68587,1.0277,0.82343,0.79061,0.85079,0.59037,0.96829,0.76062,1.05384,0.00125923,0.00125923,0.00125923
14,650.387,0.93881,0.6818,1.02405,0.83818,0.81113,0.87349,0.60448,0.96857,0.70573,1.04893,0.00124509,0.00124509,0.00124509
15,696.046,0.9479,0.68214,1.02855,0.84698,0.8204,0.88148,0.6166,0.95888,0.68065,1.04705,0.00123094,0.00123094,0.00123094
16,741.946,0.93844,0.67082,1.02033,0.82142,0.82567,0.87413,0.61509,0.93718,0.71947,1.03706,0.00121679,0.00121679,0.00121679
17,787.096,0.92489,0.66268,1.01496,0.82047,0.82842,0.87819,0.61964,0.93733,0.73532,1.03894,0.00120265,0.00120265,0.00120265
18,834.005,0.91718,0.65322,1.01507,0.71632,0.74961,0.75473,0.49675,1.03428,0.92941,1.0841,0.0011885,0.0011885,0.0011885
19,879.499,0.92839,0.65784,1.01825,0.8438,0.81552,0.87971,0.60173,0.99363,0.68318,1.05782,0.00117435,0.00117435,0.00117435
20,926.407,0.91304,0.64247,1.00767,0.85179,0.82993,0.89691,0.6485,0.89287,0.62152,1.00711,0.00116021,0.00116021,0.00116021
21,973.231,0.90761,0.6375,1.00971,0.75986,0.74664,0.80185,0.5383,0.99671,0.86657,1.06143,0.00114606,0.00114606,0.00114606
22,1018.76,0.91257,0.63144,1.01668,0.81193,0.75555,0.82927,0.55144,1.06082,0.85261,1.10313,0.00113191,0.00113191,0.00113191
23,1065.42,0.90985,0.62925,1.01332,0.85403,0.81905,0.8853,0.62957,0.919,0.6552,1.03609,0.00111776,0.00111776,0.00111776
24,1111.99,0.92024,0.63066,1.0164,0.85634,0.82627,0.8901,0.6364,0.92166,0.64321,1.03059,0.00110362,0.00110362,0.00110362
25,1157.73,0.90351,0.6202,1.01227,0.83728,0.81463,0.8816,0.64063,0.87428,0.68146,1.01581,0.00108947,0.00108947,0.00108947
26,1203.45,0.89584,0.61756,1.00506,0.85762,0.8189,0.89188,0.64078,0.90279,0.64522,1.02264,0.00107532,0.00107532,0.00107532
27,1250.43,0.89914,0.61561,1.00925,0.84977,0.83375,0.8917,0.63045,0.93507,0.64543,1.03372,0.00106118,0.00106118,0.00106118
28,1297.03,0.90129,0.61794,1.01097,0.85643,0.82199,0.88605,0.6194,0.93138,0.64816,1.03712,0.00104703,0.00104703,0.00104703
29,1342.96,0.89034,0.60776,1.00359,0.87154,0.82349,0.89765,0.63091,0.94143,0.64446,1.02977,0.00103288,0.00103288,0.00103288
30,1388.65,0.89082,0.6063,1.00216,0.86862,0.8022,0.88897,0.63943,0.9041,0.69548,1.02754,0.00101873,0.00101873,0.00101873
31,1435.44,0.88513,0.59912,1.0023,0.87041,0.8245,0.90083,0.64908,0.89687,0.61452,1.02875,0.00100459,0.00100459,0.00100459
32,1481.81,0.88068,0.59177,0.99959,0.86404,0.81395,0.88545,0.62083,0.94497,0.65656,1.04082,0.00099044,0.00099044,0.00099044
33,1528.17,0.88468,0.5938,1.00208,0.86953,0.81829,0.8978,0.65122,0.90372,0.6278,1.01981,0.000976293,0.000976293,0.000976293
34,1574.82,0.87101,0.58722,0.99838,0.86433,0.83703,0.90248,0.64373,0.91717,0.61215,1.03065,0.000962146,0.000962146,0.000962146
35,1620.71,0.87984,0.5822,1.00215,0.86277,0.83373,0.89807,0.64988,0.8932,0.61415,1.01982,0.000947999,0.000947999,0.000947999
36,1667.25,0.87597,0.58974,0.99632,0.87799,0.82988,0.90196,0.66058,0.88233,0.61663,1.01599,0.000933851,0.000933851,0.000933851
37,1713.42,0.87355,0.57515,0.99286,0.85085,0.82464,0.89053,0.61501,0.97441,0.6458,1.04727,0.000919704,0.000919704,0.000919704
38,1760.46,0.86824,0.57198,0.99665,0.86494,0.83082,0.89952,0.64107,0.91954,0.61876,1.03014,0.000905557,0.000905557,0.000905557
39,1806.71,0.8663,0.57456,0.996,0.85435,0.81218,0.88557,0.59732,1.03892,0.67387,1.08302,0.00089141,0.00089141,0.00089141
40,1852.12,0.86193,0.56879,0.99201,0.86849,0.82038,0.90038,0.65774,0.88358,0.60818,1.01135,0.000877263,0.000877263,0.000877263
41,1899.57,0.86256,0.56488,0.98802,0.86881,0.83529,0.89943,0.6452,0.90206,0.60949,1.02423,0.000863116,0.000863116,0.000863116
42,1945.5,0.85859,0.55824,0.98725,0.86446,0.83463,0.89832,0.65519,0.88515,0.60698,1.02047,0.000848969,0.000848969,0.000848969
43,1990.57,0.86022,0.55606,0.98928,0.86853,0.83671,0.90207,0.6445,0.9127,0.60054,1.02484,0.000834822,0.000834822,0.000834822
44,2037.25,0.85053,0.55202,0.98795,0.8534,0.82195,0.88504,0.64148,0.8918,0.64862,1.0243,0.000820675,0.000820675,0.000820675
45,2082.99,0.84482,0.54896,0.98325,0.87286,0.83019,0.9052,0.65878,0.8914,0.59518,1.0251,0.000806528,0.000806528,0.000806528
46,2129.99,0.84402,0.53956,0.98386,0.87507,0.83,0.90543,0.66093,0.88505,0.5878,1.01518,0.00079238,0.00079238,0.00079238
47,2176.12,0.84519,0.53852,0.98168,0.87377,0.82521,0.89912,0.65668,0.89024,0.61678,1.01808,0.000778233,0.000778233,0.000778233
48,2223.18,0.8351,0.53997,0.98055,0.87226,0.83007,0.90174,0.65536,0.8943,0.60763,1.02482,0.000764086,0.000764086,0.000764086
49,2269.63,0.83823,0.5383,0.9835,0.87184,0.83325,0.90166,0.64352,0.91623,0.61182,1.03223,0.000749939,0.000749939,0.000749939
50,2315.33,0.83425,0.53531,0.97967,0.88134,0.82758,0.9036,0.64244,0.9211,0.60711,1.03565,0.000735792,0.000735792,0.000735792
51,2362.37,0.83765,0.5313,0.9792,0.85915,0.82299,0.88562,0.61756,0.95953,0.63076,1.04435,0.000721645,0.000721645,0.000721645
52,2408.12,0.83989,0.53734,0.97974,0.84587,0.80733,0.87646,0.63294,0.89767,0.6589,1.02288,0.000707498,0.000707498,0.000707498
53,2454.3,0.82804,0.52449,0.97273,0.85983,0.83496,0.89509,0.63593,0.92711,0.61878,1.03681,0.000693351,0.000693351,0.000693351
54,2501.23,0.81516,0.51822,0.97029,0.87252,0.83487,0.89522,0.63932,0.92186,0.60743,1.02552,0.000679204,0.000679204,0.000679204
55,2547.88,0.81852,0.5147,0.97192,0.82934,0.81519,0.87171,0.61305,0.93669,0.67568,1.03917,0.000665057,0.000665057,0.000665057
56,2594.43,0.82484,0.51801,0.975,0.86248,0.82839,0.8942,0.63387,0.9473,0.61467,1.04681,0.000650909,0.000650909,0.000650909
57,2640.8,0.81135,0.50902,0.97006,0.88208,0.82265,0.90337,0.66513,0.88017,0.59685,1.01742,0.000636762,0.000636762,0.000636762
58,2687.45,0.81207,0.50743,0.97066,0.86955,0.83352,0.90358,0.66095,0.88141,0.5892,1.01986,0.000622615,0.000622615,0.000622615
59,2733.44,0.81058,0.50548,0.96875,0.85914,0.82522,0.88959,0.6253,0.94356,0.63169,1.04491,0.000608468,0.000608468,0.000608468
60,2780.09,0.80351,0.50199,0.96372,0.86689,0.84053,0.90244,0.66339,0.88136,0.59483,1.01939,0.000594321,0.000594321,0.000594321
61,2826.04,0.79986,0.49767,0.96612,0.8782,0.83093,0.90228,0.65683,0.89856,0.59757,1.02594,0.000580174,0.000580174,0.000580174
62,2872.44,0.8025,0.4964,0.9639,0.86998,0.8257,0.89508,0.64606,0.9186,0.61599,1.03527,0.000566027,0.000566027,0.000566027
63,2919.07,0.79575,0.48708,0.95967,0.86902,0.82139,0.89675,0.65541,0.90081,0.61045,1.02283,0.00055188,0.00055188,0.00055188
64,2964.94,0.79623,0.49074,0.95874,0.85466,0.8124,0.87482,0.60715,0.97043,0.67313,1.05231,0.000537733,0.000537733,0.000537733
65,3011.99,0.79304,0.48832,0.95995,0.87388,0.83224,0.90334,0.65404,0.91488,0.58927,1.02782,0.000523586,0.000523586,0.000523586
66,3057.54,0.79212,0.48022,0.95586,0.86762,0.82929,0.89804,0.65159,0.90767,0.60305,1.02724,0.000509438,0.000509438,0.000509438
67,3104.31,0.78954,0.48121,0.96113,0.86689,0.82781,0.89182,0.64755,0.90929,0.61837,1.02804,0.000495291,0.000495291,0.000495291
68,3151.22,0.78475,0.47438,0.95789,0.84456,0.82013,0.87561,0.62073,0.94076,0.65465,1.04663,0.000481144,0.000481144,0.000481144
69,3196.97,0.78111,0.47388,0.95395,0.8635,0.83853,0.90124,0.66094,0.88967,0.59227,1.02544,0.000466997,0.000466997,0.000466997
70,3244.2,0.78865,0.47746,0.95744,0.86209,0.83668,0.9013,0.66573,0.88639,0.5948,1.02741,0.00045285,0.00045285,0.00045285
71,3291.23,0.77986,0.47023,0.95508,0.86037,0.82962,0.89488,0.64494,0.92372,0.61894,1.03456,0.000438703,0.000438703,0.000438703
72,3338.17,0.77565,0.46559,0.95387,0.86974,0.83064,0.8963,0.65706,0.89375,0.60609,1.02781,0.000424556,0.000424556,0.000424556
73,3384.01,0.7769,0.46779,0.95062,0.8601,0.82073,0.88408,0.61107,0.99221,0.65427,1.06661,0.000410409,0.000410409,0.000410409
74,3430.6,0.77796,0.46191,0.95555,0.87371,0.83535,0.90194,0.66834,0.8783,0.58112,1.01929,0.000396262,0.000396262,0.000396262
75,3476.5,0.7748,0.46003,0.95127,0.86919,0.80979,0.87877,0.6186,0.95821,0.64558,1.05465,0.000382115,0.000382115,0.000382115
76,3523.79,0.76673,0.4558,0.95058,0.88177,0.82907,0.90278,0.67045,0.87879,0.58603,1.02135,0.000367967,0.000367967,0.000367967
77,3569.8,0.76524,0.45219,0.94694,0.88078,0.83051,0.90151,0.66808,0.8811,0.58131,1.02085,0.00035382,0.00035382,0.00035382
78,3616.3,0.76523,0.45178,0.94902,0.8623,0.8231,0.8838,0.61911,0.96928,0.65762,1.05927,0.000339673,0.000339673,0.000339673
79,3664.17,0.76352,0.45055,0.94748,0.8745,0.83587,0.90015,0.66898,0.88739,0.59401,1.02527,0.000325526,0.000325526,0.000325526
80,3710.74,0.75802,0.44574,0.94532,0.88467,0.82831,0.89949,0.66631,0.88727,0.59808,1.02882,0.000311379,0.000311379,0.000311379
81,3758.53,0.75688,0.44675,0.94765,0.87979,0.83353,0.89896,0.66452,0.88576,0.59627,1.02575,0.000297232,0.000297232,0.000297232
82,3804.17,0.75332,0.44436,0.94477,0.88241,0.81591,0.89442,0.65192,0.91113,0.61664,1.04247,0.000283085,0.000283085,0.000283085
83,3850.8,0.74863,0.44052,0.94098,0.87777,0.82882,0.89762,0.65216,0.9127,0.60694,1.03208,0.000268938,0.000268938,0.000268938
84,3897.99,0.74471,0.43594,0.94109,0.88206,0.81803,0.89444,0.65387,0.90402,0.60988,1.03363,0.000254791,0.000254791,0.000254791
85,3945.21,0.74305,0.43428,0.93847,0.85953,0.83449,0.89207,0.64976,0.9125,0.61811,1.03867,0.000240644,0.000240644,0.000240644
86,3991.31,0.74729,0.43413,0.94125,0.86849,0.83387,0.89317,0.65298,0.9109,0.61489,1.0369,0.000226497,0.000226497,0.000226497
